ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-05-02,10694.382675927509,6994.665621418334,9787.721686398587,10694.382675927509,10694.382675927509,-2359.683393585665,-2359.683393585665,-2359.683393585665,-2359.683393585665,-2359.683393585665,-2359.683393585665,0.0,0.0,0.0,8334.699282341844
2021-05-09,10713.890393051774,6010.434689142622,8932.238396908537,10713.890393051774,10713.890393051774,-3319.50915722809,-3319.50915722809,-3319.50915722809,-3319.50915722809,-3319.50915722809,-3319.50915722809,0.0,0.0,0.0,7394.381235823684
2021-05-16,10733.398110176038,5073.474317710172,7854.428018873801,10733.398110176038,10733.398110176038,-4276.764124023687,-4276.764124023687,-4276.764124023687,-4276.764124023687,-4276.764124023687,-4276.764124023687,0.0,0.0,0.0,6456.633986152351
2021-05-23,10752.905827300301,4292.831170051861,7133.244689823405,10752.905827300301,10752.905827300301,-4924.821288184028,-4924.821288184028,-4924.821288184028,-4924.821288184028,-4924.821288184028,-4924.821288184028,0.0,0.0,0.0,5828.084539116273
2021-05-30,10772.413544424566,4357.627773342253,7161.861529106901,10772.413544424566,10772.413544424566,-4977.847881136655,-4977.847881136655,-4977.847881136655,-4977.847881136655,-4977.847881136655,-4977.847881136655,0.0,0.0,0.0,5794.565663287911
2021-06-06,10791.921261503976,4774.938183587552,7688.795223738797,10791.921261503976,10791.921261503976,-4559.693189104379,-4559.693189104379,-4559.693189104379,-4559.693189104379,-4559.693189104379,-4559.693189104379,0.0,0.0,0.0,6232.228072399597
2021-06-13,10811.428978583386,5136.1623458844715,8177.031313409032,10811.428978583386,10811.428978583386,-4215.709960699415,-4215.709960699415,-4215.709960699415,-4215.709960699415,-4215.709960699415,-4215.709960699415,0.0,0.0,0.0,6595.719017883971
2021-06-20,10830.936695662796,4880.890002999119,7786.084405099196,10830.936695662796,10830.936695662796,-4414.740176974836,-4414.740176974836,-4414.740176974836,-4414.740176974836,-4414.740176974836,-4414.740176974836,0.0,0.0,0.0,6416.196518687961
2021-06-27,10850.444412742205,4348.037457052883,7162.2869377097495,10850.444412742205,10850.444412742205,-5063.136852972322,-5063.136852972322,-5063.136852972322,-5063.136852972322,-5063.136852972322,-5063.136852972322,0.0,0.0,0.0,5787.307559769883
2021-07-04,10869.952129821615,3878.993439502082,6714.794076940315,10869.952129821615,10869.952129821615,-5594.874952388841,-5594.874952388841,-5594.874952388841,-5594.874952388841,-5594.874952388841,-5594.874952388841,0.0,0.0,0.0,5275.077177432774
2021-07-11,10889.459846901025,3756.7793569979217,6683.678834533957,10889.459846901025,10889.459846901025,-5542.148905886723,-5542.148905886723,-5542.148905886723,-5542.148905886723,-5542.148905886723,-5542.148905886723,0.0,0.0,0.0,5347.310941014302
2021-07-18,10908.967563980435,4459.690468453862,7332.311888743144,10908.967563980435,10908.967563980435,-4937.047888929521,-4937.047888929521,-4937.047888929521,-4937.047888929521,-4937.047888929521,-4937.047888929521,0.0,0.0,0.0,5971.9196750509145
2021-07-25,10928.475281059846,5438.881812072443,8223.762440040675,10928.475281059846,10928.475281059846,-4131.174023160532,-4131.174023160532,-4131.174023160532,-4131.174023160532,-4131.174023160532,-4131.174023160532,0.0,0.0,0.0,6797.301257899314
2021-08-01,10947.982998139254,6191.804165452198,9069.665747802677,10947.982998139254,10947.982998139254,-3338.5343672393506,-3338.5343672393506,-3338.5343672393506,-3338.5343672393506,-3338.5343672393506,-3338.5343672393506,0.0,0.0,0.0,7609.448630899904
2021-08-08,10967.490707642499,7067.347806485061,9889.374840825638,10967.490707642499,10967.490707642499,-2502.565026072082,-2502.565026072082,-2502.565026072082,-2502.565026072082,-2502.565026072082,-2502.565026072082,0.0,0.0,0.0,8464.925681570418
2021-08-15,10986.998417145745,8014.956906241778,10792.990169545983,10986.998417145745,10986.998417145745,-1609.2924856730879,-1609.2924856730879,-1609.2924856730879,-1609.2924856730879,-1609.2924856730879,-1609.2924856730879,0.0,0.0,0.0,9377.705931472658
2021-08-22,11006.506126648992,8626.878455787002,11364.66405564434,11006.506126648992,11006.506126648992,-953.921483441103,-953.921483441103,-953.921483441103,-953.921483441103,-953.921483441103,-953.921483441103,0.0,0.0,0.0,10052.584643207889
2021-08-29,11026.013836152239,8590.966694671552,11383.488183421521,11026.013836152239,11026.013836152239,-918.3026562842399,-918.3026562842399,-918.3026562842399,-918.3026562842399,-918.3026562842399,-918.3026562842399,0.0,0.0,0.0,10107.711179867998
2021-09-05,11045.521545655483,8194.099823432494,10963.140567902738,11045.521545655483,11045.521545655483,-1469.4719899862419,-1469.4719899862419,-1469.4719899862419,-1469.4719899862419,-1469.4719899862419,-1469.4719899862419,0.0,0.0,0.0,9576.049555669242
2021-09-12,11065.02925515873,7657.726140221427,10530.524483858291,11065.02925515873,11065.02925515873,-2004.5555930320254,-2004.5555930320254,-2004.5555930320254,-2004.5555930320254,-2004.5555930320254,-2004.5555930320254,0.0,0.0,0.0,9060.473662126704
2021-09-19,11084.536964661977,7809.3684708483925,10780.909770109689,11084.536964661977,11084.536964661977,-1802.0103288080686,-1802.0103288080686,-1802.0103288080686,-1802.0103288080686,-1802.0103288080686,-1802.0103288080686,0.0,0.0,0.0,9282.526635853908
2021-09-26,11104.044674165223,8953.064766070102,11847.881901269546,11104.044674165223,11104.044674165223,-635.10371748519,-635.10371748519,-635.10371748519,-635.10371748519,-635.10371748519,-635.10371748519,0.0,0.0,0.0,10468.940956680033
2021-10-03,11123.552383668468,10757.003471048489,13592.817018417725,11123.552383668468,11123.552383668468,1079.317449265927,1079.317449265927,1079.317449265927,1079.317449265927,1079.317449265927,1079.317449265927,0.0,0.0,0.0,12202.869832934395
